h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.822944,1.26793,0.822944,1.26793,"{'att': 374, 'def': 33}","{'att': 309, 'def': 19}",9,5,0,1,0.9577,l,13/09/2020 15:30,0,0,1,0,-0.444986
h,2.87455,0.959804,2.87455,0.959804,"{'att': 117, 'def': 12}","{'att': 304, 'def': 22}",13,5,3,1,2.6566,w,18/04/2021 15:00,1,0,0,3,1.914746
h,0.8536,1.09361,0.8536,0.33244,"{'att': 242, 'def': 21}","{'att': 292, 'def': 19}",6,3,1,2,1.0531,l,14/02/2021 12:00,0,0,1,0,0.52116
h,0.569446,2.393,0.569446,1.63183,"{'att': 358, 'def': 29}","{'att': 267, 'def': 29}",2,13,0,1,0.243,l,04/02/2021 20:00,0,0,1,0,-1.062384
h,1.75343,1.28331,1.75343,1.28331,"{'att': 255, 'def': 22}","{'att': 224, 'def': 14}",7,7,1,0,1.7438,w,23/11/2020 17:30,1,0,0,3,0.47012
h,1.23419,0.723112,1.23419,0.723112,"{'att': 121, 'def': 27}","{'att': 298, 'def': 17}",12,1,2,1,1.7734,w,26/04/2021 19:00,1,0,0,3,0.511078
h,0.351673,2.24049,0.351673,2.24049,"{'att': 137, 'def': 17}","{'att': 277, 'def': 24}",0,3,0,4,0.1574,l,25/04/2021 11:00,0,0,1,0,-1.888817
h,0.998377,1.7945,0.998377,1.7945,"{'att': 305, 'def': 19}","{'att': 128, 'def': 13}",6,7,1,3,0.6924,l,19/05/2021 18:00,0,0,1,0,-0.796123
h,1.14303,1.91539,1.14303,1.91539,"{'att': 174, 'def': 31}","{'att': 291, 'def': 20}",10,2,1,2,0.7529,l,03/02/2021 19:30,0,0,1,0,-0.77236
h,0.80527,0.849709,0.80527,0.0885404,"{'att': 89, 'def': 20}","{'att': 247, 'def': 14}",17,2,1,0,1.1601,w,21/09/2020 17:00,1,0,0,3,0.7167296
h,1.1364,0.785914,1.1364,0.785914,"{'att': 246, 'def': 24}","{'att': 138, 'def': 26}",5,14,1,2,1.6378,l,26/01/2021 18:00,0,0,1,0,0.350486
h,0.623045,1.64144,0.623045,0.880268,"{'att': 453, 'def': 23}","{'att': 149, 'def': 14}",4,9,1,2,0.4956,l,07/02/2021 19:15,0,0,1,0,-0.257223
h,3.19575,0.200953,3.19575,0.200953,"{'att': 137, 'def': 10}","{'att': 493, 'def': 18}",18,2,2,0,2.9401,w,26/12/2020 20:00,1,0,0,3,2.994797
h,1.1449,0.615727,1.1449,0.615727,"{'att': 397, 'def': 22}","{'att': 188, 'def': 22}",9,7,2,0,1.8511,w,19/01/2021 20:15,1,0,0,3,0.529173
h,2.07383,1.68325,2.07383,1.68325,"{'att': 310, 'def': 23}","{'att': 227, 'def': 30}",2,12,3,1,1.6653,w,13/02/2021 12:30,1,0,0,3,0.39058
h,1.48207,0.411046,1.48207,0.411046,"{'att': 252, 'def': 23}","{'att': 290, 'def': 11}",10,3,1,0,2.4391,w,29/12/2020 20:00,1,0,0,3,1.071024
h,1.42614,1.84922,1.42614,1.08806,"{'att': 222, 'def': 20}","{'att': 303, 'def': 8}",6,5,1,0,1.0165,w,07/11/2020 20:00,1,0,0,3,0.33808
h,0.172988,1.78751,0.172988,1.78751,"{'att': 320, 'def': 11}","{'att': 258, 'def': 20}",0,7,0,2,0.2134,l,02/05/2021 13:00,0,0,1,0,-1.614522
h,0.869874,4.03429,0.869874,4.03429,"{'att': 385, 'def': 23}","{'att': 161, 'def': 10}",4,7,0,4,0.0513,l,02/01/2021 20:00,0,0,1,0,-3.164416
h,1.25106,0.568803,1.25106,0.568803,"{'att': 323, 'def': 30}","{'att': 201, 'def': 18}",3,8,0,1,2.0613,l,26/12/2020 20:00,0,0,1,0,0.682257
h,0.371045,1.19713,0.371045,1.19713,"{'att': 202, 'def': 18}","{'att': 348, 'def': 20}",5,4,0,1,0.5598,l,01/01/2021 17:30,0,0,1,0,-0.826085
h,0.314075,2.55085,0.314075,2.55085,"{'att': 289, 'def': 22}","{'att': 353, 'def': 30}",1,9,0,2,0.0685,l,14/02/2021 19:00,0,0,1,0,-2.236775
h,1.58872,1.32586,1.58872,0.56469,"{'att': 128, 'def': 23}","{'att': 357, 'def': 29}",5,8,3,1,1.5599,w,11/05/2021 21:00,1,0,0,3,1.02403
h,0.727677,2.07651,0.727677,1.31535,"{'att': 430, 'def': 14}","{'att': 228, 'def': 30}",3,9,1,3,0.422,l,21/09/2020 19:15,0,0,1,0,-0.587673
h,0.568258,2.24838,0.568258,2.24838,"{'att': 486, 'def': 18}","{'att': 118, 'def': 15}",3,15,0,5,0.204,l,26/01/2021 20:15,0,0,1,0,-1.680122
h,1.56644,1.7851,0.805276,1.7851,"{'att': 130, 'def': 24}","{'att': 327, 'def': 13}",8,7,1,2,1.228,l,11/12/2020 20:00,0,0,1,0,-0.979824
h,0.741154,1.79064,0.741154,1.79064,"{'att': 170, 'def': 22}","{'att': 259, 'def': 15}",7,6,1,3,0.6338,l,03/02/2021 20:15,0,0,1,0,-1.049486
h,1.44633,2.86721,1.44633,0.583704,"{'att': 144, 'def': 27}","{'att': 301, 'def': 12}",5,3,2,5,0.4174,l,27/09/2020 15:30,0,0,1,0,0.862626
h,0.439681,1.72011,0.439681,0.958941,"{'att': 241, 'def': 38}","{'att': 216, 'def': 20}",8,6,0,2,0.2982,l,21/03/2021 19:30,0,0,1,0,-0.51926
h,0.691013,3.18063,0.691013,3.18063,"{'att': 338, 'def': 25}","{'att': 402, 'def': 30}",6,11,1,3,0.148,l,03/01/2021 16:30,0,0,1,0,-2.489617
h,0.837048,2.73316,0.837048,2.73316,"{'att': 291, 'def': 25}","{'att': 171, 'def': 13}",11,13,0,3,0.3093,l,19/05/2021 19:15,0,0,1,0,-1.896112
h,2.26367,1.2289,2.26367,1.2289,"{'att': 308, 'def': 28}","{'att': 325, 'def': 16}",10,5,2,0,2.1184,w,08/05/2021 19:15,1,0,0,3,1.03477
h,0.772904,0.193968,0.772904,0.193968,"{'att': 312, 'def': 18}","{'att': 322, 'def': 17}",13,4,2,0,1.8621,w,23/05/2021 15:00,1,0,0,3,0.578936
h,1.05258,2.81049,1.05258,2.81049,"{'att': 181, 'def': 29}","{'att': 323, 'def': 15}",8,9,1,2,0.3312,l,24/10/2020 14:00,0,0,1,0,-1.75791
h,2.315,2.87261,2.315,2.87261,"{'att': 139, 'def': 29}","{'att': 293, 'def': 18}",9,3,2,4,1.005,l,07/05/2021 19:00,0,0,1,0,-0.55761
h,1.95649,1.59694,1.95649,1.59694,"{'att': 151, 'def': 20}","{'att': 381, 'def': 19}",4,4,2,3,1.6441,l,05/04/2021 19:15,0,0,1,0,0.35955
h,1.17728,3.55196,0.416109,2.79079,"{'att': 326, 'def': 30}","{'att': 392, 'def': 19}",6,4,1,4,0.065,l,07/02/2021 16:30,0,0,1,0,-2.374681
h,0.368286,1.81923,0.368286,1.81923,"{'att': 443, 'def': 15}","{'att': 124, 'def': 17}",3,8,0,2,0.3298,l,21/11/2020 12:30,0,0,1,0,-1.450944
h,2.50614,0.77074,1.74497,0.77074,"{'att': 288, 'def': 22}","{'att': 237, 'def': 24}",13,7,4,2,2.6355,w,14/02/2021 16:30,1,0,0,3,0.97423
h,0.945932,1.74772,0.945932,0.986554,"{'att': 199, 'def': 21}","{'att': 271, 'def': 23}",5,13,0,2,0.7026,l,20/12/2020 14:15,0,0,1,0,-0.040622
h,0.921801,2.09737,0.921801,2.09737,"{'att': 253, 'def': 30}","{'att': 265, 'def': 33}",5,8,1,3,0.4691,l,11/04/2021 15:30,0,0,1,0,-1.175569
h,1.94485,2.25414,1.18368,1.49304,"{'att': 258, 'def': 16}","{'att': 158, 'def': 18}",6,7,3,1,1.1207,w,26/12/2020 17:30,1,0,0,3,-0.30936
h,2.29146,0.875957,2.29146,0.875957,"{'att': 381, 'def': 30}","{'att': 290, 'def': 29}",7,8,3,1,2.3479,w,15/05/2021 14:00,1,0,0,3,1.415503
h,2.50597,0.867652,2.50597,0.867652,"{'att': 215, 'def': 19}","{'att': 248, 'def': 27}",9,4,2,1,2.5014,w,03/04/2021 14:00,1,0,0,3,1.638318
h,0.629033,3.30321,0.629033,3.30321,"{'att': 232, 'def': 20}","{'att': 277, 'def': 19}",12,5,2,3,0.0963,l,26/01/2021 18:00,0,0,1,0,-2.674177
h,1.42054,0.665743,1.42054,0.665743,"{'att': 275, 'def': 27}","{'att': 249, 'def': 31}",5,3,1,0,2.0606,w,01/03/2021 20:00,1,0,0,3,0.754797
h,0.420006,0.558508,0.420006,0.558508,"{'att': 225, 'def': 26}","{'att': 159, 'def': 17}",4,10,1,0,1.1129,w,23/05/2021 15:00,1,0,0,3,-0.138502
h,0.731288,1.71299,0.731288,1.71299,"{'att': 253, 'def': 33}","{'att': 361, 'def': 19}",10,6,0,2,0.4721,l,03/02/2021 18:00,0,0,1,0,-0.981702
h,2.01315,1.04745,1.25198,1.04745,"{'att': 136, 'def': 17}","{'att': 240, 'def': 10}",12,2,1,0,2.108,w,12/01/2021 18:00,1,0,0,3,0.20453
h,1.79168,0.619724,1.03051,0.619724,"{'att': 367, 'def': 28}","{'att': 366, 'def': 20}",10,8,1,2,2.3551,l,08/05/2021 16:30,0,0,1,0,0.410786
h,1.73397,0.395668,1.73397,0.395668,"{'att': 202, 'def': 21}","{'att': 174, 'def': 19}",4,5,1,0,2.4631,w,16/01/2021 15:00,1,0,0,3,1.338302
h,0.701764,1.37047,0.701764,1.37047,"{'att': 260, 'def': 26}","{'att': 350, 'def': 17}",5,2,0,1,0.749,l,07/03/2021 14:00,0,0,1,0,-0.668706
h,1.00106,0.876255,1.00106,0.876255,"{'att': 89, 'def': 20}","{'att': 285, 'def': 25}",6,1,0,1,1.4385,l,27/02/2021 17:30,0,0,1,0,0.124805
h,0.498783,2.47547,0.498783,2.47547,"{'att': 287, 'def': 27}","{'att': 335, 'def': 28}",0,9,2,3,0.2261,l,29/11/2020 14:00,0,0,1,0,-1.976687
h,0.73944,0.736172,0.73944,0.736172,"{'att': 264, 'def': 24}","{'att': 367, 'def': 14}",5,2,0,1,1.2724,l,25/10/2020 19:15,0,0,1,0,0.003268
h,1.56529,0.705566,0.804116,0.705566,"{'att': 313, 'def': 32}","{'att': 282, 'def': 20}",10,4,2,1,2.1663,w,14/03/2021 16:30,1,0,0,3,0.09855
h,1.98825,0.17525,1.98825,0.17525,"{'att': 134, 'def': 27}","{'att': 229, 'def': 18}",15,3,1,2,2.6645,l,10/04/2021 11:30,0,0,1,0,1.813
h,1.2216,1.00627,0.460428,1.00627,"{'att': 375, 'def': 20}","{'att': 103, 'def': 25}",2,6,1,0,1.5519,w,12/12/2020 20:00,1,0,0,3,-0.545842
h,0.267123,2.52059,0.267123,2.52059,"{'att': 305, 'def': 25}","{'att': 197, 'def': 18}",1,7,0,1,0.1025,l,24/04/2021 16:30,0,0,1,0,-2.253467
h,1.94358,2.46332,1.94358,0.940987,"{'att': 115, 'def': 17}","{'att': 308, 'def': 18}",5,7,2,3,0.9685,l,16/01/2021 12:30,0,0,1,0,1.002593
h,1.59454,0.357753,1.59454,0.357753,"{'att': 232, 'def': 13}","{'att': 434, 'def': 21}",9,1,4,0,2.4284,w,06/12/2020 19:15,1,0,0,3,1.236787
h,1.70128,0.463737,1.70128,0.463737,"{'att': 227, 'def': 23}","{'att': 319, 'def': 16}",12,6,1,0,2.346,w,14/03/2021 19:15,1,0,0,3,1.237543
h,0.534893,1.27929,0.534893,1.27929,"{'att': 186, 'def': 11}","{'att': 269, 'def': 36}",12,4,0,2,0.7053,l,27/11/2020 20:00,0,0,1,0,-0.744397
h,0.951921,0.100945,0.951921,0.100945,"{'att': 229, 'def': 30}","{'att': 506, 'def': 19}",8,1,3,0,2.1766,w,20/03/2021 20:00,1,0,0,3,0.850976
h,0.571633,2.39051,0.571633,1.62934,"{'att': 289, 'def': 23}","{'att': 144, 'def': 11}",2,8,2,1,0.2087,w,30/11/2020 20:00,1,0,0,3,-1.057707
h,0.394113,0.998072,0.394113,0.236903,"{'att': 300, 'def': 17}","{'att': 320, 'def': 27}",10,7,0,1,0.6194,l,01/11/2020 16:30,0,0,1,0,0.15721
h,0.0489155,2.12153,0.0489155,2.12153,"{'att': 437, 'def': 14}","{'att': 155, 'def': 13}",5,12,0,2,0.0766,l,03/02/2021 18:00,0,0,1,0,-2.0726145
h,1.1715,1.5519,1.1715,1.5519,"{'att': 209, 'def': 28}","{'att': 323, 'def': 28}",9,7,0,1,1.0149,l,04/03/2021 18:00,0,0,1,0,-0.3804
h,2.46219,0.4235,1.70102,0.4235,"{'att': 296, 'def': 31}","{'att': 393, 'def': 20}",17,1,3,0,2.7367,w,13/02/2021 17:30,1,0,0,3,1.27752
h,2.64769,0.370278,2.64769,0.370278,"{'att': 158, 'def': 23}","{'att': 490, 'def': 13}",7,4,2,0,2.7859,w,08/02/2021 20:00,1,0,0,3,2.277412
h,0.861445,1.65911,0.861445,1.65911,"{'att': 173, 'def': 27}","{'att': 266, 'def': 11}",5,10,0,2,0.6998,l,12/09/2020 19:00,0,0,1,0,-0.797665
h,1.62247,0.482685,1.62247,0.482685,"{'att': 287, 'def': 23}","{'att': 187, 'def': 37}",4,3,2,0,2.3381,w,02/11/2020 17:30,1,0,0,3,1.139785
h,2.37556,1.34971,1.45364,1.34971,"{'att': 330, 'def': 23}","{'att': 141, 'def': 22}",2,11,2,0,2.1737,w,08/03/2021 20:00,1,0,0,3,0.10393
h,0.533575,2.1065,0.533575,1.34533,"{'att': 274, 'def': 25}","{'att': 244, 'def': 10}",3,7,1,3,0.1895,l,28/02/2021 12:00,0,0,1,0,-0.811755
h,0.376464,1.59642,0.376464,1.59642,"{'att': 254, 'def': 20}","{'att': 319, 'def': 26}",9,7,1,3,0.4138,l,07/11/2020 12:30,0,0,1,0,-1.219956
h,0.670997,0.265526,0.670997,0.265526,"{'att': 312, 'def': 27}","{'att': 204, 'def': 23}",4,1,1,0,1.6935,w,19/05/2021 17:00,1,0,0,3,0.405471
h,2.6026,0.400364,2.6026,0.400364,"{'att': 190, 'def': 24}","{'att': 338, 'def': 21}",7,2,2,0,2.7983,w,23/01/2021 20:00,1,0,0,3,2.202236
h,1.68312,2.42477,0.921949,2.42477,"{'att': 251, 'def': 17}","{'att': 175, 'def': 16}",4,7,1,2,0.8768,l,03/05/2021 19:15,0,0,1,0,-1.502821
h,0.592049,2.4793,0.592049,2.4793,"{'att': 266, 'def': 27}","{'att': 147, 'def': 19}",1,6,1,0,0.2581,w,19/02/2021 20:00,1,0,0,3,-1.887251
h,1.21006,0.977747,1.21006,0.977747,"{'att': 143, 'def': 15}","{'att': 329, 'def': 32}",7,2,1,0,1.5197,w,20/02/2021 20:00,1,0,0,3,0.232313
h,1.74822,3.07657,1.74822,2.3154,"{'att': 155, 'def': 23}","{'att': 369, 'def': 10}",7,5,1,4,0.5166,l,02/11/2020 20:00,0,0,1,0,-0.56718
h,1.56162,0.716265,0.800456,0.716265,"{'att': 328, 'def': 13}","{'att': 337, 'def': 22}",2,5,2,1,2.121,w,02/02/2021 18:00,1,0,0,3,0.084191
h,0.247034,1.22635,0.247034,1.22635,"{'att': 383, 'def': 32}","{'att': 376, 'def': 30}",10,12,0,1,0.4597,l,04/03/2021 20:15,0,0,1,0,-0.979316
h,0.212874,0.991522,0.212874,0.991522,"{'att': 266, 'def': 13}","{'att': 347, 'def': 29}",2,2,1,2,0.5524,l,11/05/2021 17:00,0,0,1,0,-0.778648
h,2.90855,0.177084,2.14738,0.177084,"{'att': 218, 'def': 20}","{'att': 370, 'def': 21}",13,4,1,0,2.9069,w,13/01/2021 18:00,1,0,0,3,1.970296
h,1.4405,0.390714,1.4405,0.390714,"{'att': 127, 'def': 20}","{'att': 393, 'def': 23}",23,4,2,0,2.2206,w,31/01/2021 12:00,1,0,0,3,1.049786
h,2.35788,0.603212,2.35788,0.603212,"{'att': 235, 'def': 11}","{'att': 420, 'def': 34}",4,7,4,0,2.5733,w,28/02/2021 14:00,1,0,0,3,1.754668
h,0.786324,2.06038,0.786324,2.06038,"{'att': 382, 'def': 31}","{'att': 123, 'def': 20}",4,10,1,0,0.4015,w,24/04/2021 19:00,1,0,0,3,-1.274056
h,1.7256,0.341778,0.964431,0.341778,"{'att': 115, 'def': 18}","{'att': 380, 'def': 17}",10,1,3,1,2.5411,w,21/02/2021 19:00,1,0,0,3,0.622653
h,1.52229,1.52172,1.52229,1.52172,"{'att': 215, 'def': 30}","{'att': 220, 'def': 22}",4,3,3,1,1.3447,w,04/04/2021 15:30,1,0,0,3,0.00057
h,0.985828,0.175633,0.985828,0.175633,"{'att': 199, 'def': 35}","{'att': 335, 'def': 20}",4,0,2,0,2.1004,w,06/11/2020 20:00,1,0,0,3,0.810195
h,1.07042,1.83076,1.07042,1.83076,"{'att': 149, 'def': 15}","{'att': 334, 'def': 20}",6,2,3,1,0.7733,w,09/05/2021 18:00,1,0,0,3,-0.76034
h,3.26196,0.318824,3.26196,0.318824,"{'att': 198, 'def': 28}","{'att': 452, 'def': 13}",20,1,4,1,2.9046,w,02/03/2021 20:00,1,0,0,3,2.943136
h,1.71328,2.938,1.71328,2.938,"{'att': 256, 'def': 20}","{'att': 286, 'def': 29}",8,6,2,4,0.6371,l,13/05/2021 19:15,0,0,1,0,-1.22472
h,0.761142,1.66325,0.761142,1.66325,"{'att': 295, 'def': 20}","{'att': 164, 'def': 25}",2,9,2,0,0.6779,w,21/11/2020 17:30,1,0,0,3,-0.902108
h,1.71644,3.36544,1.71644,3.36544,"{'att': 182, 'def': 19}","{'att': 198, 'def': 15}",6,11,1,0,0.4776,w,28/11/2020 20:00,1,0,0,3,-1.649
h,1.90755,0.809312,1.90755,0.809312,"{'att': 199, 'def': 21}","{'att': 336, 'def': 16}",9,6,1,2,2.1755,l,02/02/2021 20:15,0,0,1,0,1.098238
h,1.76514,1.50038,1.76514,1.50038,"{'att': 257, 'def': 14}","{'att': 208, 'def': 17}",6,4,1,2,1.6157,l,21/11/2020 15:00,0,0,1,0,0.26476
h,1.30694,0.513439,0.545768,0.513439,"{'att': 202, 'def': 22}","{'att': 156, 'def': 29}",2,8,1,0,2.1842,w,13/03/2021 15:00,1,0,0,3,0.032329
h,1.56786,0.692043,1.56786,0.692043,"{'att': 223, 'def': 11}","{'att': 358, 'def': 18}",14,3,0,1,2.0693,l,12/05/2021 19:15,0,0,1,0,0.875817
h,2.27708,2.28004,1.51591,2.28004,"{'att': 234, 'def': 27}","{'att': 248, 'def': 23}",4,3,2,5,1.3364,l,20/09/2020 11:00,0,0,1,0,-0.76413
h,0.867496,2.21729,0.867496,1.45612,"{'att': 340, 'def': 28}","{'att': 206, 'def': 34}",3,12,1,4,0.4247,l,17/10/2020 19:00,0,0,1,0,-0.588624
h,1.1356,1.26872,1.1356,0.507552,"{'att': 166, 'def': 20}","{'att': 162, 'def': 28}",6,5,0,1,1.1847,l,12/12/2020 12:30,0,0,1,0,0.628048
h,2.0545,0.57936,0.532166,0.57936,"{'att': 296, 'def': 20}","{'att': 261, 'def': 10}",1,6,1,0,2.5842,w,08/11/2020 14:00,1,0,0,3,-0.047194
h,1.29175,1.0552,1.29175,1.0552,"{'att': 230, 'def': 33}","{'att': 284, 'def': 23}",4,10,0,1,1.5814,l,15/03/2021 20:00,0,0,1,0,0.23655
h,1.09737,1.91456,1.09737,1.15339,"{'att': 86, 'def': 26}","{'att': 299, 'def': 22}",9,4,1,3,0.7463,l,19/09/2020 16:30,0,0,1,0,-0.05602
h,0.43551,1.54225,0.43551,1.54225,"{'att': 482, 'def': 14}","{'att': 115, 'def': 16}",1,13,0,5,0.4676,l,29/12/2020 18:00,0,0,1,0,-1.10674
h,0.0388442,2.61964,0.0388442,1.85847,"{'att': 272, 'def': 19}","{'att': 142, 'def': 17}",1,12,0,3,0.0251,l,20/12/2020 19:15,0,0,1,0,-1.8196258
h,1.14202,2.07854,1.14202,2.07854,"{'att': 306, 'def': 14}","{'att': 77, 'def': 19}",3,20,1,2,0.7599,l,16/05/2021 15:30,0,0,1,0,-0.93652
h,0.687544,1.89643,0.687544,1.89643,"{'att': 449, 'def': 24}","{'att': 188, 'def': 12}",3,9,0,1,0.4224,l,31/10/2020 12:30,0,0,1,0,-1.208886
h,3.34385,0.601768,2.58268,0.601768,"{'att': 140, 'def': 17}","{'att': 312, 'def': 14}",21,3,2,0,2.8503,w,20/01/2021 20:00,1,0,0,3,1.980912
h,1.21783,1.5161,1.21783,1.5161,"{'att': 125, 'def': 17}","{'att': 379, 'def': 21}",18,0,2,1,1.0954,w,16/12/2020 20:00,1,0,0,3,-0.29827
h,0.760574,1.92892,0.760574,1.92892,"{'att': 239, 'def': 20}","{'att': 354, 'def': 16}",5,2,2,1,0.3903,w,27/02/2021 12:30,1,0,0,3,-1.168346
h,1.19792,0.679649,1.19792,0.679649,"{'att': 309, 'def': 15}","{'att': 135, 'def': 22}",5,14,1,0,1.7979,w,06/02/2021 12:30,1,0,0,3,0.518271
h,1.85362,0.815375,1.85362,0.815375,"{'att': 152, 'def': 16}","{'att': 297, 'def': 20}",11,3,0,1,2.1552,l,13/12/2020 19:15,0,0,1,0,1.038245
h,2.95137,1.44437,2.95137,1.44437,"{'att': 101, 'def': 24}","{'att': 251, 'def': 16}",16,3,5,2,2.363,w,16/12/2020 18:00,1,0,0,3,1.507
h,2.88355,1.07258,2.88355,0.297804,"{'att': 200, 'def': 20}","{'att': 497, 'def': 26}",9,3,5,0,2.5201,w,23/05/2021 15:00,1,0,0,3,2.585746
h,1.84262,1.34279,1.84262,1.34279,"{'att': 164, 'def': 18}","{'att': 184, 'def': 13}",13,3,1,2,1.7248,l,11/04/2021 11:00,0,0,1,0,0.49983
h,0.534675,2.03222,0.534675,2.03222,"{'att': 143, 'def': 24}","{'att': 307, 'def': 33}",5,10,0,3,0.3682,l,28/09/2020 17:00,0,0,1,0,-1.497545
